Immune Fraction, Average Infections
0.0, 622.0
0.02, 606.0
0.04, 584.0
0.06, 588.0
0.08, 497.0
0.1, 431.0
0.12, 427.0
0.14, 322.0
0.16, 402.0
0.18, 276.0
0.2, 211.0
0.22, 271.0
0.24, 0.0
0.27, 0.0
0.29, 0.0
0.31, 0.0
0.33, 0.0
0.35, 0.0
0.37, 0.0
0.39, 0.0
0.41, 0.0
0.43, 0.0
0.45, 0.0
0.47, 0.0
0.49, 0.0
0.51, 0.0
0.53, 0.0
0.55, 0.0
0.57, 0.0
0.59, 0.0
0.61, 0.0
0.63, 0.0
0.65, 0.0
0.67, 0.0
0.69, 0.0
0.71, 0.0
0.73, 0.0
0.76, 0.0
0.78, 0.0
0.8, 0.0
0.82, 0.0
0.84, 0.0
0.86, 0.0
0.88, 0.0
0.9, 0.0
0.92, 0.0
0.94, 0.0
0.96, 0.0
0.98, 0.0
1.0, 0.0
